City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm)
Львів,2020,12,1.0,9.5,-6.6,3.7,55.5,4.0
Львів,2021,1,-1.4,9.2,-18.2,2.7,49.9,12.0
Львів,2021,2,-2.7,13.1,-19.6,2.6,117.9,40.0
Львів,2021,3,1.7,16.7,-8.0,2.1,51.1,4.0
Львів,2021,4,5.9,20.2,-3.8,2.7,38.6,1.0
Львів,2021,5,12.7,24.2,-0.9,3.0,50.8,0.0
Львів,2021,6,18.4,32.4,4.9,1.7,94.4,0.0
Львів,2021,7,21.7,31.8,12.8,1.9,47.1,0.0
Львів,2021,8,17.3,30.1,7.3,1.8,127.9,0.0
Львів,2021,9,12.9,24.5,2.5,2.2,97.3,0.0
Львів,2021,10,8.0,18.2,-2.6,2.8,6.7,0.0
Львів,2021,11,4.4,13.3,-4.3,2.7,35.0,0.0
Львів,2021,12,-1.8,7.8,-14.6,2.9,95.1,15.0
Львів,2022,1,-0.8,9.4,-17.2,4.1,65.7,14.0
Львів,2022,2,2.1,9.8,-7.6,3.7,25.6,11.0
Львів,2022,3,4.3,18.3,-7.9,2.4,16.0,0.0
Львів,2022,4,6.3,18.7,-3.7,2.7,68.6,0.0
Львів,2022,5,14.1,27.3,0.8,2.3,20.6,0.0
Львів,2022,6,19.4,33.0,6.8,2.1,43.6,0.0
Львів,2022,7,19.5,32.7,8.0,2.2,93.6,0.0
Львів,2022,8,20.0,30.0,10.2,1.3,68.0,0.0
Львів,2022,9,12.3,21.3,2.4,1.9,135.8,0.0
Львів,2022,10,10.8,26.2,0.1,2.3,15.8,0.0
Львів,2022,11,0.3,2.7,-1.4,1.8,0.0,0.0
Львів,2022,12,0.3,10.9,-10.4,2.6,0.0,0.0
Львів,2023,1,1.9,14.7,-3.6,2.6,48.6,5.0
Львів,2023,2,-0.0,8.5,-13.8,3.3,63.9,14.0
Львів,2023,3,4.6,17.6,-6.6,3.1,67.6,5.0
Львів,2023,4,9.5,9.5,9.5,2.0,0.0,0.0
